date,movie,box_office_title,weekly_box_office,total_box_office,source
2024-07-26 00:00:00+00:00,Deadpool & Wolverine,Deadpool & Wolverine,298575919.0,298575919.0,the_numbers_weekly_chart
2024-08-02 00:00:00+00:00,Deadpool & Wolverine,Deadpool & Wolverine,141580463.0,440156382.0,the_numbers_weekly_chart
2024-08-09 00:00:00+00:00,Deadpool & Wolverine,Deadpool & Wolverine,76660513.0,516816895.0,the_numbers_weekly_chart
2024-08-16 00:00:00+00:00,Deadpool & Wolverine,Deadpool & Wolverine,42086471.0,558903366.0,the_numbers_weekly_chart
2024-08-23 00:00:00+00:00,Deadpool & Wolverine,Deadpool & Wolverine,25437751.0,584341117.0,the_numbers_weekly_chart
2024-08-30 00:00:00+00:00,Deadpool & Wolverine,Deadpool & Wolverine,22496623.0,606837740.0,the_numbers_weekly_chart
2024-09-06 00:00:00+00:00,Deadpool & Wolverine,Deadpool & Wolverine,9457904.0,616295644.0,the_numbers_weekly_chart
2024-09-13 00:00:00+00:00,Deadpool & Wolverine,Deadpool & Wolverine,7088981.0,623384625.0,the_numbers_weekly_chart
2024-09-20 00:00:00+00:00,Deadpool & Wolverine,Deadpool & Wolverine,5215484.0,628600109.0,the_numbers_weekly_chart
2024-09-27 00:00:00+00:00,Deadpool & Wolverine,Deadpool & Wolverine,3713236.0,632313345.0,the_numbers_weekly_chart
2024-03-01 00:00:00+00:00,Dune 2,Dune: Part Two,111027668.0,111027668.0,the_numbers_weekly_chart
2024-03-08 00:00:00+00:00,Dune 2,Dune: Part Two,65190249.0,176217917.0,the_numbers_weekly_chart
2024-03-15 00:00:00+00:00,Dune 2,Dune: Part Two,39540626.0,215758543.0,the_numbers_weekly_chart
2024-03-22 00:00:00+00:00,Dune 2,Dune: Part Two,25531484.0,241290027.0,the_numbers_weekly_chart
2024-03-29 00:00:00+00:00,Dune 2,Dune: Part Two,16368560.0,257658587.0,the_numbers_weekly_chart
2024-04-05 00:00:00+00:00,Dune 2,Dune: Part Two,10125478.0,267784065.0,the_numbers_weekly_chart
2024-04-12 00:00:00+00:00,Dune 2,Dune: Part Two,5908848.0,273692913.0,the_numbers_weekly_chart
2024-04-19 00:00:00+00:00,Dune 2,Dune: Part Two,4068496.0,277761409.0,the_numbers_weekly_chart
2024-04-26 00:00:00+00:00,Dune 2,Dune: Part Two,2797322.0,280558731.0,the_numbers_weekly_chart
2024-05-03 00:00:00+00:00,Dune 2,Dune: Part Two,1044460.0,281603191.0,the_numbers_weekly_chart
2024-05-10 00:00:00+00:00,Dune 2,Dune: Part Two,541167.0,282144358.0,the_numbers_weekly_chart
