movie,month,google_hits,month_date
Deadpool & Wolverine,2025-04,68.875,2025-04-01
Deadpool & Wolverine,2025-05,60.875,2025-05-01
Deadpool & Wolverine,2025-06,55.6,2025-06-01
Deadpool & Wolverine,2025-07,68.5,2025-07-01
Deadpool & Wolverine,2025-08,77.4,2025-08-01
Deadpool & Wolverine,2025-09,58.375,2025-09-01
Deadpool & Wolverine,2025-10,52.25,2025-10-01
Deadpool & Wolverine,2025-11,51.5,2025-11-01
Deadpool & Wolverine,2025-12,61.0,2025-12-01
Deadpool & Wolverine,2026-01,67.375,2026-01-01
Deadpool & Wolverine,2026-02,61.375,2026-02-01
Deadpool & Wolverine,2026-03,59.5,2026-03-01
Deadpool & Wolverine,2026-04,62.0,2026-04-01
Dune 2,2025-04,21.875,2025-04-01
Dune 2,2025-05,21.375,2025-05-01
Dune 2,2025-06,25.7,2025-06-01
Dune 2,2025-07,27.25,2025-07-01
Dune 2,2025-08,35.6,2025-08-01
Dune 2,2025-09,27.125,2025-09-01
Dune 2,2025-10,25.5,2025-10-01
Dune 2,2025-11,26.4,2025-11-01
Dune 2,2025-12,33.75,2025-12-01
Dune 2,2026-01,34.875,2026-01-01
Dune 2,2026-02,32.25,2026-02-01
Dune 2,2026-03,57.6,2026-03-01
Dune 2,2026-04,37.5,2026-04-01
