movie,week_start,google_trends
Deadpool & Wolverine,2024-01-29,0.0
Deadpool & Wolverine,2024-02-05,0.0
Deadpool & Wolverine,2024-02-12,0.1429
Deadpool & Wolverine,2024-02-19,0.0
Deadpool & Wolverine,2024-02-26,0.0
Deadpool & Wolverine,2024-03-04,0.0
Deadpool & Wolverine,2024-03-11,0.0
Deadpool & Wolverine,2024-03-18,0.0
Deadpool & Wolverine,2024-03-25,0.0
Deadpool & Wolverine,2024-04-01,0.0
Deadpool & Wolverine,2024-04-08,0.0
Deadpool & Wolverine,2024-04-15,0.0
Deadpool & Wolverine,2024-04-22,0.2857
Deadpool & Wolverine,2024-04-29,0.0
Deadpool & Wolverine,2024-05-06,0.0
Deadpool & Wolverine,2024-05-13,0.0
Deadpool & Wolverine,2024-05-20,0.0
Deadpool & Wolverine,2024-05-27,0.0
Deadpool & Wolverine,2024-06-03,0.0
Deadpool & Wolverine,2024-06-10,0.0
Deadpool & Wolverine,2024-06-17,0.0
Deadpool & Wolverine,2024-06-24,0.0
Deadpool & Wolverine,2024-07-01,0.1429
Deadpool & Wolverine,2024-07-08,0.5714
Deadpool & Wolverine,2024-07-15,1.0
Deadpool & Wolverine,2024-07-22,5.5714
Deadpool & Wolverine,2024-07-29,5.7143
Deadpool & Wolverine,2024-08-05,4.2857
Deadpool & Wolverine,2024-08-12,3.2857
Deadpool & Wolverine,2024-08-19,2.4286
Deadpool & Wolverine,2024-08-26,2.0
Deadpool & Wolverine,2024-09-02,1.4286
Deadpool & Wolverine,2024-09-09,1.2857
Deadpool & Wolverine,2024-09-16,1.2857
Deadpool & Wolverine,2024-09-23,1.1429
Deadpool & Wolverine,2024-09-30,1.0
Dune 2,2024-01-29,5.5
Dune 2,2024-02-05,6.7143
Dune 2,2024-02-12,12.7143
Dune 2,2024-02-19,16.0
Dune 2,2024-02-26,59.7143
Dune 2,2024-03-04,53.1429
Dune 2,2024-03-11,32.1429
Dune 2,2024-03-18,23.2857
Dune 2,2024-03-25,19.1429
Dune 2,2024-04-01,16.7143
Dune 2,2024-04-08,15.0
Dune 2,2024-04-15,14.4286
Dune 2,2024-04-22,9.5714
Dune 2,2024-04-29,6.8571
Dune 2,2024-05-06,5.4286
Dune 2,2024-05-13,5.2857
Dune 2,2024-05-20,7.0
Dune 2,2024-05-27,5.8571
Dune 2,2024-06-03,4.0
Dune 2,2024-06-10,3.5714
Dune 2,2024-06-17,3.1429
Dune 2,2024-06-24,2.7143
Dune 2,2024-07-01,2.4286
Dune 2,2024-07-08,2.2857
Dune 2,2024-07-15,2.1429
Dune 2,2024-07-22,2.0
Dune 2,2024-07-29,1.7143
Dune 2,2024-08-05,1.4286
Dune 2,2024-08-12,1.2857
Dune 2,2024-08-19,1.2857
Dune 2,2024-08-26,1.1429
Dune 2,2024-09-02,1.2857
Dune 2,2024-09-09,1.2857
Dune 2,2024-09-16,1.2857
Dune 2,2024-09-23,1.1429
Dune 2,2024-09-30,1.0
